ctrai	con trai
dhang	đơn hàng
dhàng	đơn hàng
oder	đặt hàng
order	đặt hàng
od	đặt hàng
đặt hg	đặt hàng
bill	hóa đơn
hđơn	hóa đơn
tt	thanh toán
ttoan	thanh toán
ttoán	thanh toán
cod	thanh toán khi nhận hàng
vnpay	thanh toán vnpay
momo	ví momo
ck	chuyển khoản
rv	đánh giá
cmt	bình luận
rep	trả lời
feedback	phản hồi
fback	phản hồi
đg	đáng
xdg	xứng đáng
xđáng	xứng đáng
đgtốt	đáng giá tốt
lsau	lần sau
ml	mua lại
muala	mua lại
gtieu	giới thiệu
gthieu	giới thiệu
gthi	giới thiệu
recommend	giới thiệu
rec	giới thiệu
hlòng	hài lòng
hlong	hài lòng
tvọng	thất vọng
tvong	thất vọng
bngờ	bất ngờ
tvời	tuyệt vời
tuyêt	tuyệt vời
tuyệtvời	tuyệt vời
hhao	hoàn hảo
kng	không
kg	không
khong	không
hum	không
hk	không
spee	shopee
shpee	shopee
lzd	lazada
tkk	tiktok shop
kmai	khuyến mãi
khuyen mai	khuyến mãi
voucher	phiếu giảm giá
vch	phiếu giảm giá
mgg	mã giảm giá
code	mã giảm giá
deal	ưu đãi
tamj oonr	tạm ổn
tưởg	tưởng
ủui	ủi
chat luong	chất lượng
san pham	sản phẩm
duoc	được
thi	thì
m n	mọi người
thich	thích
ghet	ghét
tot	tốt
te	tệ
xau	xấu
dep	đẹp
cc	tệ
nhu l	tệ
như c	tệ
như cc	tệ
cute	dễ thương
huhu	negative
vs	với
wa	quá
wá	quá
j	gì
sz	cỡ
size	cỡ
đx	được
dk	được
dc	được
đk	được
đc	được
authentic	chính hãng
aut	chính hãng
auth	chính hãng
thick	positive
store	cửa hàng
shop	cửa hàng
sp	sản phẩm
gud	tốt
god	tốt
wel done	tốt
good	tốt
gút	tốt
sấu	xấu
gut	tốt
tot	tốt
nice	tốt
perfect	rất tốt
time	thời gian
qá	quá
ship	giao hàng
m	mình
mik	mình
product	sản phẩm
quality	chất lượng
excelent	hoàn hảo
bad	tệ
fresh	tươi
sad	tệ
date	hạn sử dụng
hsd	hạn sử dụng
quickly	nhanh
quick	nhanh
fast	nhanh
delivery	giao hàng
síp	giao hàng
beautiful	đẹp tuyệt vời
tl	trả lời
r	rồi
shope	cửa hàng
order	đặt hàng
chất lg	chất lượng
sd	sử dụng
dt	điện thoại
nt	nhắn tin
sài	xài
bjo	bao giờ
thik	thích
sop	cửa hàng
fb	facebook
face	facebook
very	rất
dep	đẹp
xau	xấu
delicious	ngon
hàg	hàng
qủa	quả
iu	yêu
fake	giả mạo
trl	trả lời
por	tệ
poor	tệ
ib	nhắn tin
rep	trả lời
fback	feedback
fedback	feedback
cs	có
vị	có
dốg	giống
ảh	ảnh
nch	nói chung
chx	chưa
tuỵt	tuyệt
vừi	vời
nhma	nhưng mà
tc	tính chất
iem	em
